tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0107927,movie,The Real McCoy,The Real McCoy,1993,105,"Crime,Drama,Thriller",5.5,10029.0
tt0107943,movie,The Remains of the Day,The Remains of the Day,1993,134,"Drama,Romance",7.8,88421.0
tt0107953,movie,Return of the Living Dead III,Return of the Living Dead III,1993,97,Horror,5.9,17665.0
tt0107969,movie,Rising Sun,Rising Sun,1993,129,"Action,Crime,Drama",6.3,49223.0
tt0107977,movie,Robin Hood: Men in Tights,Robin Hood: Men in Tights,1993,104,"Adventure,Comedy,Musical",6.7,141263.0
tt0107978,movie,RoboCop 3,RoboCop 3,1993,104,"Action,Crime,Sci-Fi",4.2,56299.0
tt0107983,movie,Romeo Is Bleeding,Romeo Is Bleeding,1993,110,"Crime,Drama,Romance",6.5,15806.0
tt0107985,movie,Rookie of the Year,Rookie of the Year,1993,103,"Comedy,Family,Fantasy",6.1,32159.0
tt0108002,movie,Rudy,Rudy,1993,114,"Biography,Drama,Sport",7.5,71461.0
tt0108037,movie,The Sandlot,The Sandlot,1993,101,"Comedy,Drama,Family",7.8,108034.0
tt0108052,movie,Schindler's List,Schindler's List,1993,195,"Biography,Drama,History",9.0,1517814.0
tt0108065,movie,Searching for Bobby Fischer,Searching for Bobby Fischer,1993,109,"Biography,Drama,Sport",7.4,43451.0
tt0108071,movie,The Secret Garden,The Secret Garden,1993,101,"Drama,Family,Fantasy",7.3,46545.0
tt0108101,movie,Shadowlands,Shadowlands,1993,131,"Biography,Drama,Romance",7.3,21007.0
tt0108122,movie,Short Cuts,Short Cuts,1993,188,"Comedy,Drama",7.6,48576.0
tt0108147,movie,Sister Act 2: Back in the Habit,Sister Act 2: Back in the Habit,1993,107,"Comedy,Family,Music",5.7,61215.0
tt0108148,movie,Iron Monkey,Siu nin Wong Fei Hung chi: Tit ma lau,1993,85,"Action,Crime,Drama",7.5,17675.0
tt0108149,movie,Six Degrees of Separation,Six Degrees of Separation,1993,112,"Comedy,Drama,Mystery",6.8,23586.0
tt0108160,movie,Sleepless in Seattle,Sleepless in Seattle,1993,105,"Comedy,Drama,Romance",6.8,198261.0
tt0108162,movie,Sliver,Sliver,1993,107,"Drama,Thriller",5.1,35821.0
tt0108171,movie,Sniper,Sniper,1993,98,"Action,Thriller,War",6.1,26170.0
tt0108174,movie,So I Married an Axe Murderer,So I Married an Axe Murderer,1993,93,"Comedy,Romance",6.5,44220.0
tt0108185,movie,Sommersby,Sommersby,1993,114,"Drama,Mystery,Romance",6.3,23960.0
tt0108186,movie,Son in Law,Son in Law,1993,95,"Comedy,Drama,Romance",5.9,23758.0
tt0108188,movie,Sonatine,Sonachine,1993,94,"Action,Comedy,Crime",7.5,24258.0
tt0108211,movie,Stalingrad,Stalingrad,1993,134,"Drama,War",7.5,39002.0
tt0108238,movie,Striking Distance,Striking Distance,1993,102,"Action,Crime,Mystery",5.9,46723.0
tt0108255,movie,Super Mario Bros.,Super Mario Bros.,1993,104,"Adventure,Comedy,Family",4.2,65439.0
tt0108265,movie,Swing Kids,Swing Kids,1993,112,"Drama,Music",6.8,17780.0
tt0108281,movie,Tai Chi Master,Tai gik Cheung Sam Fung,1993,96,"Action,Comedy,Drama",7.2,11203.0
tt0108308,movie,Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,1993,96,"Action,Adventure,Comedy",4.8,37473.0
tt0108330,movie,This Boy's Life,This Boy's Life,1993,115,"Biography,Drama",7.3,60166.0
tt0108333,movie,The Three Musketeers,The Three Musketeers,1993,105,"Action,Adventure,Romance",6.4,61615.0
tt0108358,movie,Tombstone,Tombstone,1993,130,"Biography,Drama,History",7.8,179323.0
tt0108394,movie,Three Colors: Blue,Trois couleurs: Bleu,1993,98,"Drama,Music,Mystery",7.8,114900.0
tt0108399,movie,True Romance,True Romance,1993,119,"Crime,Drama,Romance",7.9,251727.0
tt0108432,tvMovie,Ocean Waves,Umi ga kikoeru,1993,76,"Animation,Drama,Romance",6.6,21928.0
tt0108442,movie,Undercover Blues,Undercover Blues,1993,90,"Comedy,Crime",6.0,10331.0
tt0108451,movie,Untamed Heart,Untamed Heart,1993,102,"Drama,Romance",6.8,16325.0
tt0108473,movie,The Vanishing,The Vanishing,1993,109,"Drama,Horror,Mystery",6.3,29126.0
tt0108500,movie,The Visitors,Les visiteurs,1993,107,"Comedy,Fantasy",7.0,39491.0
